ID,COD_UG,COD_PRE,QUARTIERE,NOME,UBICAZIONE,AREA_UG,TIPO_DI_AREA,IMAGE,GEO_POINT_2D,GEO_SHAPE
18,1430,110P,Porto - Saragozza,GIARDINO GRAZIELLA FAVA,Via Milazzo,7192.642,GIARDINO,,"44.5042736874, 11.3377703168","{""type"": ""Polygon"", ""coordinates"": [[[11.338101983326888, 44.50447116776528], [11.338255938561248, 44.50425716325019], [11.338351215546554, 44.5041247229351], [11.33843808880199, 44.50411869128894], [11.338558293674367, 44.50393132374182], [11.338560746621743, 44.50386893071376], [11.338545850875867, 44.50384302378745], [11.338509508249356, 44.50385014450239], [11.336884011780885, 44.504105045463554], [11.336831630978779, 44.50411323022757], [11.336793849158644, 44.50412786782835], [11.33678854931943, 44.50413688887913], [11.336784226998311, 44.50415777273823], [11.33679055152033, 44.50417123689601], [11.336798547467692, 44.504178249641214], [11.336808091568297, 44.50418519120568], [11.336858165196459, 44.50421054251072], [11.338178960270982, 44.50488215117304], [11.338371789154174, 44.504853442248375], [11.338247781762036, 44.504753945187204], [11.33811552533894, 44.50466456777364], [11.338044497730241, 44.50460463147637], [11.33803975889137, 44.50455766165308], [11.338101983326888, 44.50447116776528]]]}"
19,941,211V,San Donato - San Vitale,AIUOLE VIA DEL MURATORE,Via del Muratore,892.125,VERDE D'ARREDO STRADALE,,"44.5004935316, 11.4104549752","{""type"": ""Polygon"", ""coordinates"": [[[11.410571870553294, 44.50015086610367], [11.410371177716446, 44.49995047034546], [11.410359345747386, 44.499964872778776], [11.41035019662843, 44.49998703185512], [11.410355186183196, 44.50003787977935], [11.41043287772564, 44.500162138362796], [11.410429107248849, 44.500229058461464], [11.41041887627056, 44.500259673524425], [11.410343470812425, 44.50040668677703], [11.41028799957075, 44.50052200127622], [11.410287874324432, 44.500544490805815], [11.41029451595794, 44.50056437776732], [11.410606121622624, 44.501047787585485], [11.410612054233372, 44.501049716483315], [11.410683562288344, 44.501031120734304], [11.410674897384217, 44.501013011339914], [11.410362816073665, 44.500518804903535], [11.41048997606357, 44.500286737560444], [11.410571870553294, 44.50015086610367]]]}"
20,1119,127B,Borgo Panigale - Reno,AREA VIA BRIGATA BOLERO,via Bigata Bolero,9149.389,PARCO,,"44.5006630211, 11.2808939326","{""type"": ""Polygon"", ""coordinates"": [[[11.280071344750121, 44.50011355293979], [11.280103936695225, 44.50016398825317], [11.280109582244432, 44.5001727248051], [11.28073429193725, 44.50121509686607], [11.280845963904149, 44.50117892503715], [11.280874796248664, 44.50122795172327], [11.28091187966666, 44.50126990536641], [11.281499690531188, 44.50103333972744], [11.281804226144162, 44.50093143946345], [11.281796082823467, 44.50086837232786], [11.281524839886838, 44.500703958556876], [11.281448235159392, 44.50065051890107], [11.281213840851889, 44.500420298973694], [11.281102249331182, 44.50031070933138], [11.281025319034612, 44.500253841766856], [11.280964505443782, 44.500227089095894], [11.280832195368847, 44.50019436182141], [11.28071555849054, 44.50016544887062], [11.280603288771163, 44.50014976565097], [11.280415604104611, 44.50013367654546], [11.280372971798087, 44.50011746001831], [11.280356530688007, 44.50009906434059], [11.280341893942822, 44.5000559649629], [11.280334056247636, 44.50002272301401], [11.280093229150406, 44.500104618152335], [11.280070505121476, 44.500112253216415], [11.280071344750121, 44.50011355293979]]]}"
21,1059,293N,Navile,SCUOLE NIDO E MATERNA GROSSO,Via Erbosa,7375.769,VERDE SCOLASTICO,,"44.5205934865, 11.3395321815","{""type"": ""Polygon"", ""coordinates"": [[[11.340201747014957, 44.520165557468935], [11.339728990515251, 44.52014050510697], [11.339490894914581, 44.52018317343008], [11.339439837962706, 44.52019157392727], [11.33933612389427, 44.52020731989707], [11.339240648421791, 44.520222622581386], [11.338927459785229, 44.52027316724143], [11.338927341302329, 44.52028574356681], [11.33895664300689, 44.52059538941742], [11.338962232479998, 44.52062813321611], [11.339044471866055, 44.52075247974122], [11.339081751629404, 44.520813021129534], [11.339090861010952, 44.52084254206932], [11.339083811621535, 44.52086132189735], [11.339071361119377, 44.52089290448015], [11.339051876180951, 44.520921662112734], [11.339152768980053, 44.52099647299513], [11.339234978432179, 44.52104150950428], [11.339298166380184, 44.521076582903056], [11.339378603404864, 44.52110563148714], [11.339401677840469, 44.52108481299096], [11.339451093160832, 44.52109334206106], [11.339478904588365, 44.521096552676894], [11.339514503690411, 44.521102573910746], [11.33951876345095, 44.52112724313109], [11.339689693472607, 44.521159927411475], [11.339699173698387, 44.52116099300793], [11.339708628304619, 44.52116142910922], [11.33971726089071, 44.52116017176904], [11.339727943765933, 44.52115671181342], [11.339735486449365, 44.52115340643205], [11.339818353997341, 44.52111119647704], [11.339897923419016, 44.5211217170908], [11.339927194577623, 44.52102002052073], [11.339942544340667, 44.52096659184319], [11.339947395248055, 44.52094947776874], [11.339947684941535, 44.520859358817994], [11.339952956454887, 44.52084331610828], [11.33996827675425, 44.520836250234744], [11.339967778825466, 44.52082068596524], [11.33999510406445, 44.52081805533837], [11.34003392537197, 44.52059355064714], [11.340042839881926, 44.52055222693252], [11.340054946954155, 44.520480680311785], [11.340058920317809, 44.5204573730489], [11.340085755084745, 44.52037967177429], [11.340121561798332, 44.5202966561141], [11.340201747014957, 44.520165557468935]], [[11.339618638902927, 44.52083248383307], [11.339548181885462, 44.520837137732805], [11.339547182835913, 44.520784210912694], [11.33933440124297, 44.520790980676686], [11.33933607074465, 44.5208326634362], [11.339285652328456, 44.52083369736845], [11.33928536336822, 44.52082648269574], [11.3392719310639, 44.52065909046534], [11.339517172664394, 44.52065085166448], [11.339522395564337, 44.5206972749901], [11.339698235518691, 44.520692064282954], [11.339691891623996, 44.520645664533596], [11.339972889167429, 44.520634284801176], [11.33998603091145, 44.52076638422189], [11.339802412076358, 44.52077336008208], [11.339802925861267, 44.5207861852988], [11.339783847217273, 44.52078577462531], [11.339786604554645, 44.5208266316242], [11.339716083359756, 44.52082968294276], [11.339706152815396, 44.52077774102652], [11.339574041431819, 44.520782857774975], [11.339577180615123, 44.52080525574778], [11.339605158895008, 44.52080387963867], [11.33961300225482, 44.52080371877411], [11.339618638902927, 44.52083248383307]]]}"
22,212,183N,Navile,AREA NOMADI VIA ERBOSA,Via Erbosa,8098.689,GIARDINO,,"44.5226267075, 11.3412541925","{""type"": ""Polygon"", ""coordinates"": [[[11.342511005763916, 44.52286677388933], [11.3423236562155, 44.52279202180907], [11.341305018796476, 44.522386506288825], [11.341304289939053, 44.522387364565134], [11.340789928858623, 44.522163802472676], [11.340030344581825, 44.52185152143769], [11.340140797161762, 44.52194027993506], [11.340248044931428, 44.522024491447134], [11.340397603278346, 44.52216122957051], [11.340525592532044, 44.52230543366171], [11.34064154714713, 44.52244955660904], [11.340771038867391, 44.52263123147507], [11.34083461326973, 44.522738675177074], [11.340968217016965, 44.523092606170124], [11.342316552218245, 44.52289358674726], [11.34242323565128, 44.522878666999624], [11.342511005763916, 44.52286677388933]]]}"
23,623,145B,Borgo Panigale - Reno,AREA SALVEMINI,via Salvemini,8039.462,GIARDINO,,"44.503834963, 11.2804394356","{""type"": ""Polygon"", ""coordinates"": [[[11.281331947075488, 44.50482813724237], [11.281622239114613, 44.504733404509714], [11.281839559782457, 44.504659124689425], [11.281885421802595, 44.50464224560577], [11.281890850326308, 44.50463438432679], [11.281899291158044, 44.50461893681665], [11.281893576786496, 44.50460499275005], [11.281888461067048, 44.50459677200404], [11.281766470955457, 44.50463655454586], [11.281328129243803, 44.504775379963895], [11.28126278076484, 44.504661436732725], [11.281038922607447, 44.50429231526558], [11.280682051712866, 44.50369532918924], [11.280624819328708, 44.503586707693195], [11.280496884286755, 44.50361564214025], [11.280416569981126, 44.50338849782485], [11.280375164389772, 44.5033944567458], [11.28037000011101, 44.50339104920396], [11.280265874926895, 44.503059773303406], [11.280235710930901, 44.50303787006327], [11.280063829453658, 44.50307571372845], [11.279968944817513, 44.50312304001574], [11.279937237538276, 44.50316261320484], [11.279666202366425, 44.50366231348279], [11.280016003394353, 44.50388300792062], [11.280074655538037, 44.50391440169517], [11.280102557902538, 44.503926292886185], [11.28020602787341, 44.503998850666754], [11.280274189808562, 44.504021184113434], [11.280325037478406, 44.50404179035064], [11.280348484089075, 44.50405826913927], [11.280395968222754, 44.504102438889554], [11.280562251948949, 44.50422159749134], [11.280745293225134, 44.50437454018807], [11.280744511643366, 44.50437501875208], [11.281067137715361, 44.50462539758224], [11.281067733439377, 44.504625004545964], [11.281149607363375, 44.50469799877821], [11.28126495248418, 44.50478796649387], [11.281331947075488, 44.50482813724237]]]}"
1,1137,125Z,Porto - Saragozza,PARCO SAN PELLEGRINO,Via Casaglia,272111.272,PARCO,,"44.4812788412, 11.3093005832","{""type"": ""Polygon"", ""coordinates"": [[[11.309451134704874, 44.47741332210964], [11.309444984275544, 44.47742041635677], [11.309398400517392, 44.477472705391264], [11.309396296549838, 44.47747261287853], [11.309380671125803, 44.477481301590295], [11.309363199298417, 44.477500560340424], [11.309362967529857, 44.47750080471237], [11.309354911717229, 44.477507618916], [11.30929679880069, 44.47756121785605], [11.309291235554795, 44.47756634935222], [11.3092553239118, 44.47760267053176], [11.309217690207483, 44.47763674124811], [11.30917718506011, 44.477672999542214], [11.309175187604271, 44.47767487156882], [11.309167168555076, 44.47768196588955], [11.309083931372994, 44.47772659213178], [11.309001580081954, 44.4777809232571], [11.30895160168007, 44.47781443369025], [11.308902214514383, 44.47785018230112], [11.308846832990929, 44.47789334459163], [11.308794590163096, 44.4779332024654], [11.308744577570813, 44.47797859637372], [11.308684904373319, 44.47803408870435], [11.308605464990498, 44.47810168386456], [11.3085490609094, 44.4781508079965], [11.30847921227481, 44.47823522393192], [11.308447540921318, 44.478267463130024], [11.308408706732473, 44.47830299825281], [11.308354948467791, 44.478342706253436], [11.308314041268437, 44.47837351216739], [11.308268891829531, 44.47841151565793], [11.308217606233647, 44.47845972597759], [11.308129342611737, 44.478526779454256], [11.308022248798277, 44.47861374891053], [11.308012809890842, 44.478622045501346], [11.30759327176639, 44.478931855663774], [11.307595901456914, 44.478933645869176], [11.307568982848842, 44.478960927957175], [11.307462441901412, 44.4790689101053], [11.306643091138472, 44.478817020534294], [11.306605351308246, 44.47886430458533], [11.306351817498626, 44.4791819528748], [11.306245202919747, 44.47932452760843], [11.30618336542869, 44.47929597770806], [11.305948164209731, 44.479187385613834], [11.305545229490747, 44.479508687330224], [11.305135010088566, 44.47986861147295], [11.305287064613836, 44.480000224282314], [11.305504945869595, 44.480138867902554], [11.305567017445156, 44.4802079895976], [11.305590327958878, 44.48023384605893], [11.305762409103556, 44.48036962897358], [11.30591421044644, 44.48049445349931], [11.30609017869657, 44.48069247751555], [11.306329446942618, 44.480928901409044], [11.306381233955387, 44.481035712227815], [11.306452716594807, 44.481139286084826], [11.306621884467976, 44.481347475859266], [11.307055690161523, 44.48187023541796], [11.307263317778313, 44.48212437094912], [11.307384483371765, 44.48256354340737], [11.307537754621606, 44.482980951690855], [11.307499788401946, 44.48299363857138], [11.30759573905425, 44.48311745017017], [11.307600084790632, 44.4831463294984], [11.307661401481548, 44.483239413956824], [11.307815046049065, 44.48343322144632], [11.307814642353657, 44.48350108659487], [11.307785033068457, 44.483584082685766], [11.307762975399175, 44.48371919688498], [11.307773940334137, 44.483719673064506], [11.307767118111125, 44.483755124356456], [11.307736836782292, 44.4838535541823], [11.307847222584813, 44.48411840352393], [11.307877668253248, 44.48426492460003], [11.307968170018102, 44.48447497115314], [11.308047630049247, 44.48479504221756], [11.307982548581553, 44.48501448669732], [11.309285185780647, 44.4847194855596], [11.309284994468788, 44.484719053284884], [11.310595582321293, 44.48441253549808], [11.311127898909461, 44.48426614593919], [11.311270850200481, 44.48423964549968], [11.311236804136598, 44.484209735842775], [11.310945241989327, 44.48400002689439], [11.310631906010165, 44.48377177199329], [11.310620072553032, 44.48376507999519], [11.310381598517981, 44.48375424579096], [11.309935414876545, 44.48344171676623], [11.309914973601584, 44.483424035750815], [11.309910581298212, 44.48341152134874], [11.309926500084623, 44.48340066634727], [11.310543059750094, 44.48300579544941], [11.310910350198357, 44.48275732375933], [11.310962097157825, 44.482797146287986], [11.310971425250829, 44.48283908849605], [11.3110386727741, 44.48283520544455], [11.311516086705883, 44.48321245526858], [11.312000132335006, 44.48355373858207], [11.311762841366246, 44.4841581966948], [11.312184414526945, 44.484121384879955], [11.313019461077808, 44.484025361545875], [11.31301356095587, 44.48399906774159], [11.312991200181342, 44.48393605416101], [11.312970263564814, 44.48387724296538], [11.31295110119878, 44.48382514772589], [11.312931468278485, 44.483773872094766], [11.31290719064717, 44.4837196298234], [11.312879821354953, 44.483660318726166], [11.312840360604083, 44.483590990633076], [11.31281068887014, 44.48353388677429], [11.312777588890043, 44.48347595217532], [11.312749827016308, 44.483428982421785], [11.312731473781692, 44.48339415503688], [11.312716524534476, 44.483356378159236], [11.312708276345596, 44.48331315386754], [11.31270338396071, 44.483272111992434], [11.3127007160693, 44.48322373351392], [11.312696706160953, 44.483176372073856], [11.312701119880222, 44.483132170880516], [11.31271005118319, 44.483084547068266], [11.312726776357213, 44.4830273128746], [11.312747544438057, 44.48297692869437], [11.312798874627001, 44.482885323945965], [11.312831675097105, 44.48282758376034], [11.312852344771425, 44.48277152990479], [11.312867310565505, 44.482723873893526], [11.312873311817867, 44.482688012581235], [11.312877246742262, 44.48264760208954], [11.312877132483903, 44.48260655350607], [11.3128743580866, 44.48256501871492], [11.312868928878059, 44.48251993708317], [11.31285856364142, 44.48247405471608], [11.312844679910855, 44.48242824397462], [11.312830249027858, 44.4823876657114], [11.312809505158198, 44.482343254390486], [11.31278587355213, 44.48229259994044], [11.31275844087748, 44.482250755301614], [11.312730139156915, 44.48220919762684], [11.312690974970746, 44.48216642007665], [11.312647003033764, 44.48211653807059], [11.312609708271058, 44.48207651318916], [11.312584390119682, 44.48204362774195], [11.312557216093863, 44.482001957281426], [11.312534067169075, 44.481966687224585], [11.312510449214413, 44.48191954322672], [11.312484247826225, 44.481867500424364], [11.312466848246906, 44.481818610214084], [11.312451449324135, 44.48176625824683], [11.31243607648176, 44.481701842831846], [11.312422558683735, 44.48162073552881], [11.312412307732883, 44.48155864649352], [11.312407827030476, 44.48150256239959], [11.31239162576077, 44.481436273123315], [11.312374327700468, 44.481374057009795], [11.312354142824525, 44.481305598025614], [11.312332853471064, 44.48124418300377], [11.31230820810925, 44.48118058555198], [11.312280057803946, 44.48111102768224], [11.312249951171877, 44.4810397086934], [11.312089120868135, 44.480670629676425], [11.312048902543495, 44.48057250869022], [11.312020488753214, 44.480499445013635], [11.31196782665403, 44.480477878188374], [11.31189532642552, 44.48031959614894], [11.311842189768395, 44.48030774274298], [11.31174922838053, 44.480319048260974], [11.310938387647266, 44.48035589887319], [11.3107731633424, 44.479946945576955], [11.310672036494813, 44.47969791717257], [11.310463032005517, 44.4791434620525], [11.310385537805843, 44.47895597269936], [11.31035009466112, 44.47881340670503], [11.31037282859194, 44.478438691187016], [11.310378540758457, 44.47840152134528], [11.310702651373656, 44.478285395673886], [11.311065384512936, 44.478158191027276], [11.31121846943401, 44.47811111886812], [11.311165973159163, 44.47804992508787], [11.311059141601692, 44.47796606233272], [11.310836223613663, 44.47786053337518], [11.310405016402129, 44.47770042670304], [11.31037690974161, 44.477688798805595], [11.310245150166024, 44.477620096358756], [11.310178246470688, 44.47758596372297], [11.31014894740124, 44.47757281985993], [11.309984362681408, 44.47753494091194], [11.309984519370756, 44.47753455805384], [11.309792347111273, 44.477490748843074], [11.309561186091878, 44.47743560557451], [11.309451134704874, 44.47741332210964]], [[11.308578168564695, 44.48106721637434], [11.308512108774298, 44.48096136834238], [11.308703162230307, 44.48089604898209], [11.308781246436725, 44.48100308268187], [11.308773324277862, 44.481004672171835], [11.308788075817528, 44.48102438138493], [11.308784593852204, 44.481037314188846], [11.308729420916004, 44.481055580348084], [11.308706409436539, 44.481028892562755], [11.308578168564695, 44.48106721637434]], [[11.308410418043612, 44.48101487499431], [11.308374086393172, 44.48095415743671], [11.308447041541614, 44.480931244151904], [11.308481491338386, 44.4809948580653], [11.308410418043612, 44.48101487499431]]]}"
2,731,139Z,Porto - Saragozza,PARCO BADEN POWELL,via Don Sturzo,72148.501,PARCO,,"44.4892229866, 11.3020605174","{""type"": ""Polygon"", ""coordinates"": [[[11.303742346888743, 44.490315484211685], [11.303742270559543, 44.490315684821425], [11.303929079876466, 44.4903369765268], [11.304284446042626, 44.49039326539804], [11.304356019981183, 44.49023085702886], [11.30438345937247, 44.49023462386587], [11.304478474497964, 44.48996497365788], [11.304684426820991, 44.48945912298815], [11.304730060907236, 44.48936339315484], [11.304518578164636, 44.48928808473898], [11.303746808277428, 44.48904623062067], [11.30341934132816, 44.48887266102461], [11.303005692311029, 44.488653632506086], [11.302735781814008, 44.48850892623171], [11.302509526938119, 44.48832628078466], [11.302310244096919, 44.48811411433807], [11.302076838622634, 44.487931572138265], [11.302082136082486, 44.487925606826295], [11.301014384913493, 44.48753637605263], [11.300668693702805, 44.48812199293215], [11.300440998523367, 44.48836482214201], [11.300098003459205, 44.48883347810511], [11.299692353265325, 44.489379920498806], [11.299678827302884, 44.489418346973984], [11.300089623526148, 44.48961972322293], [11.300401704695881, 44.48980936201199], [11.300801578911704, 44.49009835530766], [11.301336188184884, 44.490493653389834], [11.301675304312118, 44.49031288549532], [11.301882524712228, 44.490219220509054], [11.302213494606422, 44.49006334027678], [11.302327748072743, 44.49011903100785], [11.302329820539967, 44.490122150334955], [11.30293415162154, 44.49020600688702], [11.303177296406806, 44.49023899795721], [11.303247740051981, 44.4902443955032], [11.303742346888743, 44.490315484211685]]]}"
3,1207,121S,Savena,GIARDINO GIUSEPPE IMPASTATO,via Due Madonne,32787.855,PARCO,,"44.4799956148, 11.3942008607","{""type"": ""Polygon"", ""coordinates"": [[[11.394386945414517, 44.47911723992663], [11.39442302828582, 44.47916432404689], [11.394395576100324, 44.479174460733894], [11.394658245068108, 44.47951483458516], [11.394668937847216, 44.47954407053946], [11.394679456172803, 44.47958848866029], [11.394672377189, 44.47962808561503], [11.394654562464225, 44.479653374325636], [11.394633383165296, 44.47966731440484], [11.394581695111315, 44.4796798186841], [11.394517992422278, 44.47968219398586], [11.394479942719554, 44.479673649644276], [11.394465200444271, 44.4796677303961], [11.39444300211121, 44.479656777087094], [11.394420591515008, 44.47964063765767], [11.394361999316617, 44.47966159166041], [11.394285231326068, 44.47955731527525], [11.394266636823437, 44.47956571399426], [11.393989689708176, 44.47967353508109], [11.393745079946148, 44.479773913499024], [11.39358924780437, 44.47955788520221], [11.393515889476687, 44.47945521839005], [11.392654311652333, 44.47979339467212], [11.392677847734856, 44.479824131050904], [11.392631192891889, 44.47984242629624], [11.39260766675768, 44.47981170287776], [11.392576096430455, 44.47982409427019], [11.392379575661671, 44.479904376218244], [11.39261977172618, 44.480299410675535], [11.392991467971042, 44.480903161858], [11.393150272490923, 44.48113124338508], [11.393220099646609, 44.48110789188065], [11.393127037711322, 44.48097464271366], [11.393495554799902, 44.48089303815251], [11.393828885955573, 44.4808079892731], [11.393839559931232, 44.48082221525817], [11.394195741045824, 44.48068523328057], [11.395094330461003, 44.48034509593613], [11.395620055889605, 44.48012480705052], [11.396192262667725, 44.47992672511354], [11.396092980085708, 44.479782747025226], [11.39604903094146, 44.47971901238443], [11.396004221606725, 44.479654030115846], [11.395986772667785, 44.479628725720865], [11.395949831146089, 44.47957640626329], [11.395811808184792, 44.47935140973894], [11.395794971010499, 44.47932682477785], [11.39551712586012, 44.47892673218299], [11.395375000139055, 44.478726811292816], [11.394441104233954, 44.47909424992126], [11.394386945414517, 44.47911723992663]], [[11.39511735844785, 44.48029905053037], [11.394984633419861, 44.4800247271229], [11.395177701351901, 44.47996194810029], [11.39520993566171, 44.48001435553279], [11.39526185268673, 44.47999634001021], [11.395369761241444, 44.48019590184161], [11.39511735844785, 44.48029905053037]], [[11.394880481383607, 44.47962737506981], [11.39465786756925, 44.47931977152562], [11.395461362836711, 44.47902170278574], [11.395683979603115, 44.479329304710134], [11.394880481383607, 44.47962737506981]]]}"
4,1051,129T,Santo Stefano,PARCO   UMBERTO BAGNARESI,Piazzale G. Bacchelli - Via Castiglione,28183.934,PARCO,,"44.4796718963, 11.3461403338","{""type"": ""Polygon"", ""coordinates"": [[[11.346294330017983, 44.4806936702861], [11.346191609986917, 44.480399183960394], [11.346247561735685, 44.480214264824546], [11.346455046213602, 44.48002256536607], [11.346454511642515, 44.48002223902415], [11.346398346495972, 44.479921632963844], [11.346362939574576, 44.47987058811238], [11.346265806412537, 44.47973055468841], [11.346778997131176, 44.47961068631298], [11.34685636612249, 44.479589488724905], [11.34685636294376, 44.47958944961187], [11.347083991533353, 44.47957463275493], [11.347357134563271, 44.47954981110606], [11.347510158824509, 44.47953147450648], [11.347754954708488, 44.47945672735072], [11.347956742233368, 44.47938118367983], [11.347612944949807, 44.4790221643981], [11.347542443577474, 44.47906362909681], [11.347483028722921, 44.47906849968307], [11.347413036042775, 44.47906243329145], [11.347328477403288, 44.47903716033683], [11.347222516493627, 44.47894865555996], [11.347145409571993, 44.47886154992046], [11.347066197744228, 44.478776150313536], [11.346996389767654, 44.47871769485862], [11.346952010921182, 44.478687695838545], [11.346825117876804, 44.47861882308335], [11.346758626304396, 44.47857575485407], [11.346618871807513, 44.478522602340135], [11.346286430968338, 44.47837488094331], [11.346153549518188, 44.478312371785314], [11.345800562845248, 44.478644660951936], [11.346198139681357, 44.47895386561016], [11.346233737337128, 44.47899137592642], [11.345699668979659, 44.47925619516264], [11.344876209712758, 44.479589085688445], [11.34491697442844, 44.47964428728561], [11.345052125703422, 44.47980249404276], [11.345277783953913, 44.47973609336034], [11.345500476321446, 44.479760551498146], [11.34560401532863, 44.47991521980073], [11.345610311824972, 44.479924895883904], [11.345658430824086, 44.47990883284906], [11.345806695844473, 44.47985431026927], [11.345908023688704, 44.47982458330513], [11.346005532657465, 44.47981384240632], [11.346053844060158, 44.47980852079254], [11.346235359385984, 44.479740743321905], [11.346254479742147, 44.47973466199266], [11.346284409381767, 44.479781373936774], [11.34631174897368, 44.479825858730585], [11.34633826601165, 44.47987422210269], [11.346338614487674, 44.47988284945462], [11.346302050698288, 44.47990127932229], [11.346240305877489, 44.47993047512592], [11.346142715666112, 44.47997370458055], [11.346084363393675, 44.47999909474942], [11.346065410905897, 44.4800064847864], [11.346055282830458, 44.48001588877124], [11.34603664698144, 44.480037203386814], [11.346018849966248, 44.480048733511914], [11.34599141612001, 44.48006650652907], [11.345950389462523, 44.480111285667334], [11.345929526235642, 44.4801409037859], [11.345903596229219, 44.4801734109325], [11.345862846944396, 44.48020045811889], [11.345850433803557, 44.48022466378146], [11.345842067608, 44.4802989014621], [11.345830228957778, 44.48034995441521], [11.345800843110506, 44.48039166059683], [11.345754899952937, 44.480435560150866], [11.345707032794452, 44.48046674293071], [11.345663418437521, 44.480470485085185], [11.34555795398741, 44.480474009034225], [11.345473201336105, 44.48046138986956], [11.345442693343065, 44.480445575449], [11.345419366896747, 44.480423054151], [11.345450281327546, 44.480337968317706], [11.345399939529939, 44.48025497257507], [11.344671975170217, 44.480414988393235], [11.344564087536817, 44.4804459057442], [11.344472010220606, 44.480492708130356], [11.344569690118908, 44.48058859216533], [11.344679957909767, 44.480698235480816], [11.34493812365559, 44.480884291257865], [11.345034344075593, 44.48094373555106], [11.345071353440352, 44.48096368284364], [11.34522447819548, 44.48100508769504], [11.34533247857953, 44.48102398131058], [11.345509668303738, 44.48102993551787], [11.3456592990093, 44.48101726159085], [11.345744407198225, 44.481000155904965], [11.34589425607295, 44.48092605523188], [11.346216512083386, 44.48075230967905], [11.346297738684395, 44.480702590469946], [11.346294330017983, 44.4806936702861]]]}"
