ID,GEO_POINT_2D,GEO_SHAPE,NAME,ETICHETTA,NOTETESTO,NUMEROANTICO,NUMEROMODERNO,LINK1,LINK2,LINK3,PIANI,ARCATE,ARCHITRAVATE,ARCHITRAVATE_CON_COLONNE_DI_LEGNO,ARCHIVOLTI,MODIGLIONI,MENSOLONI_ARCHITRAVATI,STALLA_E,FIENILE_I,RIMESSA_E,SCUDERIA_E,ATTIVITA_COMMERCIALI_PRODUTTIVE_1,ATTIVITA_COMMERCIALI_PRODUTTIVE_2,ATTIVITA_COMMERCIALI_PRODUTTIVE_3,ATTIVITA_COMMERCIALI_PRODUTTIVE_4,ATTIVITA_COMMERCIALI_PRODUTTIVE_5
51,"44.4920242141, 11.3535132563","{""type"": ""Polygon"", ""coordinates"": [[[11.353263, 44.491906, 0], [11.353133, 44.491738, 0], [11.353305, 44.49167, 0], [11.353429, 44.491812, 0], [11.353352, 44.491842, 0], [11.353371, 44.491864, 0], [11.353313, 44.491889, 0], [11.35346, 44.49206, 0], [11.35369, 44.491961, 0], [11.353847, 44.492117, 0], [11.353641, 44.492207, 0], [11.353743, 44.492339, 0], [11.353733, 44.492342, 0], [11.353724, 44.492321, 0], [11.353631, 44.492355, 0], [11.353406, 44.492088, 0], [11.353449, 44.492066, 0], [11.353302, 44.491894, 0], [11.353263, 44.491906, 0]]]}",-,Casa,-,228,18,-,-,-,-,3,-,-,-,-,-,-,-,-,-,Bottega,Bottega,-,-,-
52,"44.4905153921, 11.3376601678","{""type"": ""Polygon"", ""coordinates"": [[[11.337523, 44.490565, 0], [11.337531, 44.490444, 0], [11.337799, 44.490467, 0], [11.337789, 44.490586, 0], [11.337523, 44.490565, 0]]]}",-,Casa,-,254,-,http://www.originebologna.com/strade/via-saragozza/n-254,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,"44.4904078679, 11.3358499411","{""type"": ""Polygon"", ""coordinates"": [[[11.33589, 44.490307, 0], [11.335927, 44.490471, 0], [11.335934, 44.490523, 0], [11.335813, 44.490524, 0], [11.335797, 44.490466, 0], [11.33586, 44.490466, 0], [11.335856, 44.490425, 0], [11.335789, 44.490426, 0], [11.335752, 44.490298, 0], [11.33589, 44.490307, 0]]]}",-,Casa,-,248,19,http://www.originebologna.com/strade/via-saragozza/n-248,-,-,2,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
54,"44.49257694, 11.3552704849","{""type"": ""Polygon"", ""coordinates"": [[[11.355141, 44.492642, 0], [11.355127, 44.492604, 0], [11.355373, 44.492521, 0], [11.355384, 44.492536, 0], [11.355432, 44.492521, 0], [11.355443, 44.492536, 0], [11.355141, 44.492642, 0]]]}",-,Casa,-,743,39,-,-,-,1,-,1,-,-,-,-,-,-,-,-,Calzolaio,-,-,-,-
55,"44.4903313817, 11.3350399443","{""type"": ""Polygon"", ""coordinates"": [[[11.335092, 44.490198, 0], [11.335119, 44.490524, 0], [11.33508, 44.490527, 0], [11.33506, 44.490437, 0], [11.33498, 44.490442, 0], [11.334955, 44.490181, 0], [11.335092, 44.490198, 0]]]}",-,Casa,-,243,29,http://www.originebologna.com/strade/via-saragozza/n-243,-,-,-,-,-,-,-,-,-,-,-,-,-,Mercante,Sartore,-,-,-
56,"44.4954776461, 11.3348072463","{""type"": ""Polygon"", ""coordinates"": [[[11.33495, 44.495524, 0], [11.334671, 44.495518, 0], [11.334668, 44.495431, 0], [11.334837, 44.495429, 0], [11.334844, 44.495467, 0], [11.334892, 44.495466, 0], [11.334892, 44.495429, 0], [11.334951, 44.495432, 0], [11.33495, 44.495524, 0]]]}",-,Casa,-,"826,852,853","2 via del Borghetto, 18 via del Pratello",-,-,-,1,-,5,-,-,-,-,-,-,-,-,Vendita di pane,-,-,-,-
57,"44.4903044772, 11.3347967501","{""type"": ""Polygon"", ""coordinates"": [[[11.334671, 44.49015, 0], [11.334881, 44.490174, 0], [11.334909, 44.49045, 0], [11.334714, 44.490478, 0], [11.334696, 44.490424, 0], [11.334785, 44.490413, 0], [11.334774, 44.490324, 0], [11.334693, 44.49033, 0], [11.334671, 44.49015, 0]]]}",-,Casa,-,241,33,http://www.originebologna.com/strade/via-saragozza/n-241,-,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,"44.4926844248, 11.3553708336","{""type"": ""Polygon"", ""coordinates"": [[[11.355204, 44.492763, 0], [11.355184, 44.492726, 0], [11.355285, 44.492692, 0], [11.3553, 44.492716, 0], [11.355342, 44.492701, 0], [11.355324, 44.492674, 0], [11.355509, 44.492608, 0], [11.355536, 44.492655, 0], [11.355204, 44.492763, 0]]]}",-,Casa,-,740,45,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
59,"44.4956417286, 11.3309804081","{""type"": ""Polygon"", ""coordinates"": [[[11.330925, 44.495671, 0], [11.330925, 44.495616, 0], [11.331032, 44.495617, 0], [11.331048, 44.49566, 0], [11.330925, 44.495671, 0]]]}",-,Casa,-,972,73,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
60,"44.4965388476, 11.346758637","{""type"": ""Polygon"", ""coordinates"": [[[11.346763, 44.496424, 0], [11.346838, 44.49658, 0], [11.346779, 44.496594, 0], [11.346809, 44.496649, 0], [11.346753, 44.496661, 0], [11.346738, 44.496628, 0], [11.346718, 44.49663, 0], [11.346708, 44.49661, 0], [11.346751, 44.496601, 0], [11.346747, 44.496578, 0], [11.34677, 44.496572, 0], [11.346763, 44.496555, 0], [11.346716, 44.496563, 0], [11.346683, 44.496472, 0], [11.346763, 44.496424, 0]]]}",-,Casa,-,"2703, 2702",-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
