ID,GEO_POINT_2D,GEO_SHAPE,ENTE,CODICE,ORDINANZA,STATO,AREA,CODARCO1,NOMEVIA1,CODARCO2,NOMEVIA2,CODARCO3,NOMEVIA3,CODARCO4,NOMEVIA4,CODARCO5,NOMEVIA5,CODARCO6,NOMEVIA6,CODARCO7,NOMEVIA7,IIDD,TIPOZTL
1,"44.4936359043, 11.3446691138","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.3444530838429, 44.49398251235665], [11.344366082792485, 44.493696509872365], [11.344717094918412, 44.49361344017051], [11.344804097944564, 44.49359042251208], [11.344918101865828, 44.49356739976769], [11.345106108359039, 44.49352636175375], [11.345125108692317, 44.49357036171813], [11.345141108851603, 44.49362536315072], [11.345211109623087, 44.493853368864876], [11.345281111961976, 44.493848355961234], [11.345262111410987, 44.493837358444395], [11.34518511055529, 44.49358835207943], [11.34517311048214, 44.493540350425896], [11.345157110605882, 44.49344334561562], [11.345141110068917, 44.49344434870046], [11.345114110073496, 44.49331034315574], [11.345092110113397, 44.49319533830289], [11.345050108589227, 44.49321434790718], [11.345081108388497, 44.49339835635866], [11.34509710825554, 44.49349736114095], [11.344785097499493, 44.49356242400967], [11.344733095694753, 44.493575434549925], [11.34458409059334, 44.49360246389262], [11.344430085324548, 44.493630494031756], [11.344127074990258, 44.49368255257843], [11.34401907131399, 44.49370057324268], [11.343791063571665, 44.49373661647628], [11.343800063639451, 44.493774616711185], [11.34431608114836, 44.49369551891151], [11.344411082424708, 44.49398852010367], [11.3444530838429, 44.49398251235665]]]]}",,39,4000/343434,A,895,1255,VIA DRAPPERIE,1274,VICOLO RANOCCHI,1364,VIA DRAPPERIE,1278,VIA PESCHERIE VECCHIE,1277,VIA PESCHERIE VECCHIE,,,,,15,Aree Pedonali
2,"44.4919092997, 11.3455809714","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.345420129535995, 44.49158725527894], [11.345108119148115, 44.49161130971553], [11.34509511859644, 44.49164630954094], [11.345190120657048, 44.49196626744962], [11.345247122442906, 44.49200225320012], [11.345267123082543, 44.492011248445245], [11.345275122862859, 44.49215923476814], [11.345515130929185, 44.49216118436122], [11.34566813607277, 44.49216215222979], [11.34586914282603, 44.49216510980639], [11.34615715250524, 44.49216904895271], [11.346187153470428, 44.49218804022847], [11.346225154745142, 44.49219003196164], [11.346318158320006, 44.49198703969555], [11.346148152635541, 44.49198607390037], [11.345840142343404, 44.49198213607011], [11.345668136593428, 44.491981170609165], [11.3456751380756, 44.49154621353479], [11.345418129598762, 44.49154625927993], [11.345420129535995, 44.49158725527894]]]]}",,,4000/343434,A,3543,,,,,,,,,,,,,,,22,Aree Pedonali
3,"44.4919752623, 11.3422949036","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.341892014331073, 44.492152698812504], [11.342279025943597, 44.49209269729617], [11.342296794602023, 44.49208149094331], [11.342285646540327, 44.49200287450404], [11.342537034047101, 44.49198869424519], [11.342833042801962, 44.49196569381315], [11.342960386990976, 44.4919497759045], [11.342948357929147, 44.49190883576864], [11.342842281508307, 44.491916046820776], [11.342833942164877, 44.4918604645846], [11.342744441172815, 44.491855397599316], [11.342746971542931, 44.49183410834851], [11.342540695388077, 44.49183007987911], [11.34253503424267, 44.491943692809166], [11.34227697296294, 44.49195432116919], [11.342291092172758, 44.49194477653005], [11.342298327148686, 44.491898381290355], [11.342272026809908, 44.49190269123569], [11.342225025479713, 44.49189569096497], [11.342115022291072, 44.491892690757766], [11.341895274328989, 44.49188822777914], [11.341878828424624, 44.49189526337677], [11.341892014331073, 44.492152698812504]]]]}",,37,4000/343434,A,844,7723,CORTE DE' GALLUZZI,1140,CORTE DE' GALLUZZI,7722,CORTE DE' GALLUZZI,,,,,,,,,23,Aree Pedonali
4,"44.4920837846, 11.3481047397","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.348955265832254, 44.492338520553545], [11.34891626400494, 44.492355548823454], [11.348776257888876, 44.49234664634989], [11.348580249760733, 44.49226477917658], [11.348514246577484, 44.49218985620062], [11.348359239193739, 44.492000036043976], [11.34871225346936, 44.49178690068614], [11.34867225156676, 44.49173794695329], [11.34859724825154, 44.49170000892253], [11.348648250191356, 44.49165099951763], [11.348678251323504, 44.49162199444921], [11.348710252528523, 44.49159198894349], [11.348746253875019, 44.49155798324207], [11.348912711790247, 44.49139669428183], [11.348792427011514, 44.49134223536025], [11.348480273653077, 44.49139048139339], [11.34863224900662, 44.4915260632135], [11.348582247171326, 44.49158606643568], [11.34853524541796, 44.491640071370696], [11.348499244065275, 44.49168207545573], [11.34844424196039, 44.49174108474076], [11.34839524006416, 44.49179309413906], [11.348312236799288, 44.49187711353419], [11.348274235295545, 44.491918122232136], [11.348171231184546, 44.49203714558886], [11.348092227972764, 44.492128166343825], [11.348041225871102, 44.49218618125631], [11.348005224377157, 44.49222819202269], [11.347971222948948, 44.49226820292488], [11.347424690625873, 44.49184422252835], [11.34733609700479, 44.49188471243893], [11.347114674604791, 44.491880830213894], [11.346462481434639, 44.49189477840079], [11.346456509982623, 44.49192336386494], [11.347207761932049, 44.491966342144806], [11.347590836820963, 44.49205203883255], [11.347945221514538, 44.49230922482129], [11.347865217327133, 44.49240228953646], [11.347849216464093, 44.49242430286686], [11.347737210581432, 44.49255439450402], [11.34769120816922, 44.49260643230178], [11.347672207160796, 44.492629448118194], [11.347651206055817, 44.49265346549057], [11.34762220452971, 44.49268648952544], [11.347598203267935, 44.49271350943576], [11.34757320196082, 44.492740530106815], [11.347552200874416, 44.49276154733007], [11.347529199683809, 44.49278456622979], [11.347521199254754, 44.49279457302623], [11.347593202270328, 44.492819524059435], [11.347827214056291, 44.49262533762078], [11.347809213402094, 44.49260534847367], [11.348055225119664, 44.49248716356441], [11.348422242111749, 44.49237189612297], [11.348492245346113, 44.49234984545065], [11.348538247473916, 44.49233481217344], [11.348792258053683, 44.492430640310474], [11.348990267111107, 44.492380498339415], [11.348955265832254, 44.492338520553545]]]]}",,14,4000/343434,A,4011,5152,CORTE ISOLANI,7989,VIA S.STEFANO,1179,VIA S.STEFANO,1199,VIA DE' PEPOLI,7988,VIA SANTA,1461,VIA S.STEFANO,,,27,Aree Pedonali
5,"44.4931694337, 11.3450845773","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.343724063050612, 44.49345461526281], [11.343849067355832, 44.49342759046401], [11.34396107119679, 44.49340656828104], [11.344139077310059, 44.49337253276813], [11.344362084948658, 44.49333448816981], [11.344358084879063, 44.493324488312346], [11.344479089049619, 44.49330046370587], [11.344488089233586, 44.493318463153436], [11.34464409458169, 44.49329243162881], [11.344639094525496, 44.49327543142379], [11.345050108589227, 44.49321434790718], [11.345092110113397, 44.49319533830289], [11.345332118350413, 44.49315828874614], [11.345328118319603, 44.49314328826167], [11.345425121666132, 44.493126267908025], [11.34548412370014, 44.4931162555208], [11.345716131758154, 44.49306920583451], [11.345740132600397, 44.493063200559476], [11.345910138510003, 44.49302916383395], [11.346034142761061, 44.49301313776131], [11.346314152212845, 44.492998080807794], [11.346318152793863, 44.49293707349828], [11.346178148015754, 44.49295110286947], [11.346176148021595, 44.492941102231875], [11.34599414181362, 44.49295914030071], [11.345834136286767, 44.49298517461763], [11.345652129960323, 44.49302121400907], [11.345656130030823, 44.493030214043955], [11.345485124126984, 44.49305925032494], [11.345443122657901, 44.49306925945085], [11.345089110382009, 44.49314033455802], [11.3450451088168, 44.49315534429214], [11.34465009525982, 44.49321842540699], [11.344491089793138, 44.49324645790702], [11.344222080419879, 44.49331551369638], [11.344169078572852, 44.49332952461116], [11.344014073236668, 44.49336055579946], [11.343841067350825, 44.49338458981892], [11.343713062991322, 44.49340361492511], [11.343724063050612, 44.49345461526281]]]]}",,41,4000/343434,A,1252,1363,VIA CLAVATURE,9105,VIA CLAVATURE,1383,VIA CLAVATURE,9106,VIA CLAVATURE,,,,,,,28,Aree Pedonali
6,"44.4937113368, 11.3466243676","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.346545787446416, 44.49408894553535], [11.346620217635643, 44.494071883658755], [11.346536018550252, 44.49390746360863], [11.346745997973787, 44.49361005439092], [11.346781279851731, 44.493627328863525], [11.346951397233674, 44.493465955065986], [11.346850492579264, 44.49343231801943], [11.346746793353605, 44.4935515156177], [11.346709760136811, 44.493529775857446], [11.346648421428283, 44.49360757814814], [11.34646614317369, 44.49357084643483], [11.346473482776847, 44.493710397420806], [11.346480317328316, 44.493946249800096], [11.346545787446416, 44.49408894553535]]]]}",,,,,,,,,,,,,,,,,,,,29,Aree Pedonali
7,"44.4903632966, 11.344082043","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.343977088746131, 44.49011753771336], [11.344034089612645, 44.490318528051404], [11.344108090624053, 44.49061251303729], [11.344184093082164, 44.490606503282095], [11.34413709240736, 44.49042251372005], [11.344051091106792, 44.490110530064776], [11.343977088746131, 44.49011753771336]]]]}",,,4000/343434,A,332,,,,,,,,,,,,,,,32,Aree Pedonali
8,"44.4955251341, 11.3457146349","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.34555922931395, 44.49520550230279], [11.345931807064291, 44.49651597805652], [11.346004060288516, 44.49647128868119], [11.34562511223354, 44.49496909936694], [11.345599112020343, 44.494879095210614], [11.34555611199777, 44.4946810841799], [11.345489111194826, 44.49448307747637], [11.345435109370987, 44.494496087458984], [11.34548310960424, 44.494689096523196], [11.345526109702202, 44.494877106343466], [11.34555922931395, 44.49520550230279]]]]}",,9,4000/343434,A,402,8105,VIA GUGLIELMO OBERDAN,5321,VIA GUGLIELMO OBERDAN,8104,VIA GUGLIELMO OBERDAN,,,,,,,,,34,Aree Pedonali
9,"44.4958334607, 11.347156762","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.346710142995137, 44.49548699350218], [11.346717143105135, 44.4955019942552], [11.346713142971236, 44.49550299493369], [11.346721143090479, 44.495520995898275], [11.346791143952064, 44.495702007386186], [11.346789096476254, 44.49574193565756], [11.346889146815045, 44.49573199765069], [11.347012150909215, 44.495702977439855], [11.347024151097756, 44.4957279788834], [11.347164157499861, 44.49568287701899], [11.347432170995285, 44.49552664021998], [11.347549175514292, 44.4956455575902], [11.34764617915214, 44.495761490107945], [11.347633178501948, 44.495768501518235], [11.347723181867538, 44.49587943855097], [11.34768317989665, 44.495896473330596], [11.347790183935473, 44.49602539737649], [11.347703179668292, 44.49605847305016], [11.347609175050536, 44.49609455507928], [11.347550172124997, 44.49612060704971], [11.347561172519992, 44.496136599550454], [11.347394164332812, 44.496195745688695], [11.347159152862403, 44.496268951338784], [11.346946144296698, 44.49630405918684], [11.346944144339233, 44.49629005777379], [11.34685914183547, 44.496270065863136], [11.346833142296257, 44.49610004889754], [11.346907144643138, 44.496096039023534], [11.346868144547669, 44.49594602605812], [11.34688714515907, 44.4959440233396], [11.346827144592716, 44.49576801031037], [11.346898146948137, 44.49575199883533], [11.346889146807527, 44.49573299777063], [11.346789100614219, 44.4957419563474], [11.34679514356295, 44.49577101496914], [11.346818143441922, 44.495884025245665], [11.346757141413597, 44.49589903504419], [11.346811142474527, 44.495984037984144], [11.346808142103926, 44.49602104274205], [11.346765140718665, 44.4960260488633], [11.346755140412641, 44.49602505003265], [11.346760140345928, 44.496055052898896], [11.34676814060403, 44.496054051758065], [11.346782139543324, 44.496255073581295], [11.346540131796173, 44.49628110631227], [11.346486130154203, 44.49627511229313], [11.346494130229472, 44.496299113911384], [11.3465251312114, 44.496297109899395], [11.3466461342454, 44.496398106375295], [11.346701136150658, 44.496372096827315], [11.346749137794696, 44.49635208874954], [11.346788139121916, 44.49633708229859], [11.346851141243059, 44.496316072198674], [11.346873141675744, 44.49635007348649], [11.347041147170406, 44.49631604901761], [11.347107148917807, 44.49646901990099], [11.347216152699003, 44.49663095094851], [11.347316156248924, 44.496763887505], [11.347356158170285, 44.49675285360461], [11.34727015522364, 44.49662590613614], [11.347222153566834, 44.4965549360416], [11.347171151862259, 44.496470967189204], [11.347159151453582, 44.49645197469441], [11.34714915116762, 44.4964289800607], [11.347172152271177, 44.49642396032461], [11.34711715059515, 44.49630999175474], [11.347302159627239, 44.496253829421946], [11.347390163919062, 44.49622675249841], [11.347499169241534, 44.49619165728642], [11.347655176855724, 44.49614052140231], [11.347664177159231, 44.4961565155081], [11.347748181301467, 44.496122441890705], [11.347830185339669, 44.496089370241485], [11.347931190310542, 44.49604828222422], [11.347994193424837, 44.49602022725414], [11.3479841930098, 44.49601323493713], [11.347977192733852, 44.496006240121986], [11.347970192457987, 44.49599924530334], [11.347965192260983, 44.49599424900219], [11.347876188753458, 44.495906314637146], [11.347836187183942, 44.49586634391096], [11.347797185670041, 44.49582537214893], [11.347724182858665, 44.49574642447314], [11.347590177698413, 44.49560451976382], [11.347471173102024, 44.49548360380386], [11.347508174969198, 44.495460571276276], [11.347455172892603, 44.495411608936955], [11.347333166731477, 44.49548771636946], [11.347354167526808, 44.49551070190145], [11.347188159296032, 44.49559084642316], [11.347077153853364, 44.49563494242597], [11.346964149645824, 44.495669979954734], [11.346874146605314, 44.49569699549531], [11.346844145607351, 44.495704000412864], [11.34683414541949, 44.495686999755435], [11.346772144240347, 44.49558299601754], [11.346792144924134, 44.49557599241771], [11.346743144187586, 44.495466986517606], [11.346902149676646, 44.495405956692196], [11.347026153975245, 44.49535693294735], [11.347116158058684, 44.49531587182183], [11.347206162512368, 44.49527179404676], [11.347346169514038, 44.49519167231915], [11.347406172507606, 44.495157620427115], [11.347447175010194, 44.49507157817695], [11.347289166966565, 44.49518371711048], [11.347154160296625, 44.49524983325876], [11.347032154537288, 44.495307926045534], [11.346946152737434, 44.495184923610246], [11.346888150736202, 44.495205934708046], [11.34696915235762, 44.495331938109516], [11.346869148939287, 44.495364956507416], [11.346737144555476, 44.495391978632156], [11.346695143736692, 44.495322976676405], [11.346615142195114, 44.49518797291315], [11.346560141078733, 44.495101971379064], [11.346487139551815, 44.49499297024782], [11.346442138058828, 44.495000977979956], [11.34646913848173, 44.49506098049048], [11.346520139498097, 44.49514398205406], [11.346574140583305, 44.495229983709116], [11.34664514185559, 44.49536298848791], [11.346710142995137, 44.49548699350218]]]]}",,11,4000/343434,A,3012,1414,VIA CANONICA,9230,PIAZZETTA MARCO BIAGI,1417,VIA VALDONICA,1454,VIA VALDONICA,1419,VICOLO LURETTA,1389,VIA CANONICA,9229,VIA DELL'INFERNO,35,Aree Pedonali
10,"44.4955569093, 11.3454266645","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.345650109320207, 44.49550914496298], [11.34565310953189, 44.49549214298462], [11.345397101146444, 44.495535182732745], [11.345406101262228, 44.4955601836217], [11.345236095805706, 44.4955732083703], [11.345250096021267, 44.49560720922359], [11.345290097156804, 44.49562620527624], [11.345321098282396, 44.49560419915741], [11.345365099725061, 44.49559619239244], [11.345401100976185, 44.49557918594845], [11.34546010290026, 44.49557017697056], [11.345457102859685, 44.49556217669112], [11.345595107376102, 44.495539155396955], [11.34558810729854, 44.49551815448359], [11.345650109320207, 44.49550914496298]]]]}",,88,4000/343434,A,128,7921,VIA S.NICOLO',,,,,,,,,,,,,37,Aree Pedonali
